machine,kernel,metric,no_metric,frequency,error
deren_run,peakflops,uops_retired_any_err,8,32,-0.009774259276530705,1
deren_run,peakflops,l1_bw,8,32,-0.006004963283985359,1
deren_run,peakflops,ai,8,32,1.9960507264647773,1
deren_run,peakflops,ai_err,8,32,1.0023401458478078,1
deren_run,ddot,fp_arith_scalar_double_err,8,1,-0.003001801407359734,1
deren_run,ddot,unhalted_reference_cycles_err,8,1,-0.027381195884960973,1
deren_run,ddot,instruction_retired_err,8,1,-0.0010604708807807478,1
deren_run,ddot,uops_retired_any_err,8,1,0.0006208133567463953,1
deren_run,ddot,l1_bw,8,1,0.000736696960308183,1
deren_run,ddot,ai,8,1,0.1245337851078188,1
deren_run,ddot,ai_err,8,1,-0.8752738155228614,1
deren_run,ddot,fp_arith_scalar_double_err,8,2,-0.008254814707924059,1
deren_run,ddot,unhalted_reference_cycles_err,8,2,-0.03256330447308432,1
deren_run,ddot,instruction_retired_err,8,2,-0.00642951658215611,1
deren_run,ddot,uops_retired_any_err,8,2,-0.005163163133676857,1
deren_run,ddot,l1_bw,8,2,-0.005415931599380728,1
deren_run,ddot,ai,8,2,0.12464338481670766,1
deren_run,ddot,ai_err,8,2,-0.8754323241598682,1
deren_run,ddot,fp_arith_scalar_double_err,8,4,-0.0009117237566664625,1
deren_run,ddot,unhalted_reference_cycles_err,8,4,-0.027864262597666858,1
deren_run,ddot,instruction_retired_err,8,4,0.000963508392427692,1
deren_run,ddot,uops_retired_any_err,8,4,0.0013918115791638418,1
deren_run,ddot,l1_bw,8,4,0.00102209828604625,1
deren_run,ddot,ai,8,4,0.12475858949958261,1
deren_run,ddot,ai_err,8,4,-0.8750978557113128,1
deren_run,ddot,fp_arith_scalar_double_err,8,8,0.0011457126411932642,1
deren_run,ddot,unhalted_reference_cycles_err,8,8,-0.025720683866054143,1
deren_run,ddot,instruction_retired_err,8,8,0.0030277706516862435,1
deren_run,ddot,uops_retired_any_err,8,8,0.0028522559132250626,1
deren_run,ddot,l1_bw,8,8,0.002455540027330606,1
deren_run,ddot,ai,8,8,0.1248369273755508,1
deren_run,ddot,ai_err,8,8,-0.8754084315373318,1
deren_run,ddot,fp_arith_scalar_double_err,8,16,-0.008132887097792413,1
deren_run,ddot,unhalted_reference_cycles_err,8,16,0.053296371253808844,1
deren_run,ddot,instruction_retired_err,8,16,0.03786438781471465,1
deren_run,ddot,uops_retired_any_err,8,16,-0.0009212415741019922,1
deren_run,ddot,l1_bw,8,16,-0.0018483933113383594,1
deren_run,ddot,ai,8,16,0.12421345070768305,1
